what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291907177290
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1291907181621
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1291907195214
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1291907196678
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1291907200228
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291907201879
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291907294348
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1291907298342
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291907301142
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291907327184
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291907404238
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291907409305
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1291907411637
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291907506726
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291907515986
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1291907523199
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1291907525949
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1291907526823
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1291907527836
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291907532805
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291907582688
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291907583108
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291907629787
activated,editor,org.eclipse.jpt.ui,2.3.2.v201008252310,"org.eclipse.jpt.ui.internal.editors.PersistenceEditor",1291907631453
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1291907634820
