what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1291942705650
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1291942707724
error,log,,,"Plug-in 'org.maven.ide.eclipse.refactoring' contributed an invalid Menu Extension (Path: 'org.eclipse.jdt.ui.refactoring.menu' is invalid): org.maven.ide.eclipse.editor.RenameProjectAction",1291942710602
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291942714528
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291942731683
error,log,,,"Could not update workspace index",1291942731926
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1291942736885
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1291942739647
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1291942743688
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1291942749561
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291942755669
opened,editor,org.maven.ide.eclipse.editor,0.12.0.20101115-1102,"org.maven.ide.eclipse.editor.MavenPomEditor",1291942762434
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291942762627
activated,editor,org.maven.ide.eclipse.editor,0.12.0.20101115-1102,"org.maven.ide.eclipse.editor.MavenPomEditor",1291942762725
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.navigate.openResource",1291942762757
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291942783966
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291942815209
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1291942819201
executed,command,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui.toggle.comment",1291942826195
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1291942832268
error,log,,,"Could not update workspace index",1291942833020
error,log,,,"Could not update workspace index",1291942833023
error,log,,,"Could not update workspace index",1291942833025
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1291942835381
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1291942837309
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291942841346
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291942841686
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1291942843700
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291942844957
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291942845834
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1291942847876
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291942848987
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291942849284
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1291942850686
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291942852015
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291942852284
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1291942860618
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291942869946
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291942872653
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291942872990
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291943055665
activated,editor,org.eclipse.jpt.ui,2.3.2.v201008252310,"org.eclipse.jpt.ui.internal.editors.PersistenceEditor",1291943064771
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1291943066533
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291943071525
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291943124442
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1291943125925
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1291943128157
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1291943134948
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291943139188
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291943204740
activated,editor,org.eclipse.jpt.ui,2.3.2.v201008252310,"org.eclipse.jpt.ui.internal.editors.PersistenceEditor",1291943207031
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291943229370
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291943248581
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1291943252064
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1291943272325
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.open.editor",1291943272330
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1291943280689
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1291943308630
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1291943317554
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1291943325971
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1291943328882
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291943331921
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291943411923
error,log,,,"src/main/java/com/assaassociates/syraway/proto [in exts] does not exist",1291943430471
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1291943430651
error,log,,,"src/main/java/com/assaassociates/syraway/proto [in exts] does not exist",1291943432341
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1291943432500
error,log,,,"src/main/java/com/assaassociates/syraway/proto [in exts] does not exist",1291943435156
error,log,,,"src/main/java/com/assaassociates/syraway/proto [in exts] does not exist",1291943435347
error,log,,,"src/main/java/com/assaassociates/syraway/proto [in exts] does not exist",1291943435472
error,log,,,"src/main/java/com/assaassociates/syraway/proto [in exts] does not exist",1291943435681
error,log,,,"src/main/java/com/assaassociates/syraway/proto [in exts] does not exist",1291943436008
error,log,,,"src/main/java/com/assaassociates/syraway/proto [in exts] does not exist",1291943443281
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1291943443414
error,log,,,"src/main/java/com/assaassociates/syraway/proto [in exts] does not exist",1291943459042
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1291943459602
error,log,,,"src/main/java/com/assaassociates/syraway/proto [in exts] does not exist",1291943474476
error,log,,,"src/main/java/com/assaassociates/syraway/proto [in exts] does not exist",1291943475546
error,log,,,"src/main/java/com/assaassociates/syraway/proto [in exts] does not exist",1291943477766
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1291943477961
error,log,,,"src/main/java/com/assaassociates/syraway/proto [in exts] does not exist",1291943479808
error,log,,,"src/main/java/com/assaassociates/syraway/proto [in exts] does not exist",1291943480232
error,log,,,"src/main/java/com/assaassociates/syraway/proto [in exts] does not exist",1291943480355
error,log,,,"src/main/java/com/assaassociates/syraway/proto [in exts] does not exist",1291943481602
error,log,,,"src/main/java/com/assaassociates/syraway/proto [in exts] does not exist",1291943481644
error,log,,,"src/main/java/com/assaassociates/syraway/proto [in exts] does not exist",1291943481721
error,log,,,"src/main/java/com/assaassociates/syraway/proto [in exts] does not exist",1291943481955
error,log,,,"src/main/java/com/assaassociates/syraway/proto [in exts] does not exist",1291943482469
error,log,,,"src/main/java/com/assaassociates/syraway/proto [in exts] does not exist",1291943485809
